Offset MPU6050
Tiempo total: 1002
Offset AcX = 366.83 | Offset AcY = 4039.03 | Offset AcZ = 342.28
Offset GiX = -65.11 | Offset GiY = -37.98 | Offset GiZ = 5.20
Resultados MPU6050
AcX = -6199.00 | AcY = -222.00 | AcZ = 3310.00 | GiX = 2663.00 | GiY = -6397.00 | GiZ = -2682.00 | Tiempo: 82185
AcX = -10352.00 | AcY = -1707.00 | AcZ = 2534.00 | GiX = 4158.00 | GiY = -8831.00 | GiZ = -3162.00 | Tiempo: 82680
AcX = -16464.00 | AcY = -2985.00 | AcZ = 640.00 | GiX = 4769.00 | GiY = -8985.00 | GiZ = -3686.00 | Tiempo: 83175
AcX = -19851.00 | AcY = -3494.00 | AcZ = -710.00 | GiX = 3983.00 | GiY = -7876.00 | GiZ = -2347.00 | Tiempo: 83670
AcX = -19699.00 | AcY = -3600.00 | AcZ = -2281.00 | GiX = 2428.00 | GiY = -3195.00 | GiZ = -880.00 | Tiempo: 84165
AcX = -15998.00 | AcY = -2407.00 | AcZ = -1085.00 | GiX = 1667.00 | GiY = 753.00 | GiZ = -401.00 | Tiempo: 84660
AcX = -12571.00 | AcY = 808.00 | AcZ = 3599.00 | GiX = 1772.00 | GiY = -160.00 | GiZ = 1235.00 | Tiempo: 85155
AcX = -13013.00 | AcY = -130.00 | AcZ = 677.00 | GiX = 3961.00 | GiY = 5310.00 | GiZ = -4397.00 | Tiempo: 85650
AcX = -7342.00 | AcY = 623.00 | AcZ = 690.00 | GiX = 4134.00 | GiY = 2736.00 | GiZ = -1344.00 | Tiempo: 86145
AcX = -6873.00 | AcY = -3554.00 | AcZ = 1231.00 | GiX = 4631.00 | GiY = 1509.00 | GiZ = -1147.00 | Tiempo: 86640
AcX = -5661.00 | AcY = -7763.00 | AcZ = -1077.00 | GiX = 2839.00 | GiY = 1554.00 | GiZ = -2517.00 | Tiempo: 87135
AcX = -4913.00 | AcY = -7912.00 | AcZ = 29.00 | GiX = -519.00 | GiY = 523.00 | GiZ = -3378.00 | Tiempo: 87630
AcX = -4963.00 | AcY = -4355.00 | AcZ = 984.00 | GiX = -2339.00 | GiY = -630.00 | GiZ = -2979.00 | Tiempo: 88125
AcX = -7177.00 | AcY = -1608.00 | AcZ = -644.00 | GiX = -3095.00 | GiY = -1502.00 | GiZ = -1175.00 | Tiempo: 88620
AcX = -9407.00 | AcY = 180.00 | AcZ = -94.00 | GiX = -2684.00 | GiY = -2281.00 | GiZ = -512.00 | Tiempo: 89115
