Offset MPU6050
Tiempo total: 1001
Offset AcX = 895.13 | Offset AcY = 3961.74 | Offset AcZ = 247.57
Offset GiX = -307.53 | Offset GiY = 9.32 | Offset GiZ = 13.84
Resultados MPU6050
AcX = -2626.00 | AcY = 3359.00 | AcZ = 1768.00 | GiX = 1646.00 | GiY = 440.00 | GiZ = -5875.00 | Tiempo: 74760
AcX = -2808.00 | AcY = 3211.00 | AcZ = 1670.00 | GiX = 1659.00 | GiY = 267.00 | GiZ = -6168.00 | Tiempo: 75255
AcX = -2823.00 | AcY = 2975.00 | AcZ = 1739.00 | GiX = 1995.00 | GiY = 771.00 | GiZ = -6097.00 | Tiempo: 75750
AcX = -2727.00 | AcY = 3027.00 | AcZ = 1752.00 | GiX = 1952.00 | GiY = 605.00 | GiZ = -5802.00 | Tiempo: 76245
AcX = -2694.00 | AcY = 3180.00 | AcZ = 1567.00 | GiX = 1709.00 | GiY = 521.00 | GiZ = -5648.00 | Tiempo: 76740
AcX = -2387.00 | AcY = 3098.00 | AcZ = 1776.00 | GiX = 1819.00 | GiY = -237.00 | GiZ = -5205.00 | Tiempo: 77235
AcX = -2464.00 | AcY = 2855.00 | AcZ = 1792.00 | GiX = 1723.00 | GiY = 567.00 | GiZ = -5275.00 | Tiempo: 77730
AcX = -2022.00 | AcY = 2714.00 | AcZ = 1487.00 | GiX = 1838.00 | GiY = 1.00 | GiZ = -5843.00 | Tiempo: 78225
AcX = -2889.00 | AcY = 2877.00 | AcZ = 1407.00 | GiX = 1489.00 | GiY = 211.00 | GiZ = -4649.00 | Tiempo: 78720
AcX = -2628.00 | AcY = 2763.00 | AcZ = 1013.00 | GiX = 1397.00 | GiY = 1338.00 | GiZ = -4421.00 | Tiempo: 79215
AcX = -2499.00 | AcY = 2743.00 | AcZ = 1522.00 | GiX = 800.00 | GiY = -561.00 | GiZ = -4137.00 | Tiempo: 79710
AcX = -2514.00 | AcY = 2593.00 | AcZ = 1076.00 | GiX = 524.00 | GiY = 2108.00 | GiZ = -4033.00 | Tiempo: 80205
AcX = -2336.00 | AcY = 2686.00 | AcZ = 1782.00 | GiX = 205.00 | GiY = -280.00 | GiZ = -4143.00 | Tiempo: 80700
AcX = -2558.00 | AcY = 2578.00 | AcZ = 649.00 | GiX = 778.00 | GiY = 789.00 | GiZ = -4277.00 | Tiempo: 81195
AcX = -2352.00 | AcY = 2744.00 | AcZ = 1459.00 | GiX = 783.00 | GiY = -1412.00 | GiZ = -4122.00 | Tiempo: 81690
AcX = -2548.00 | AcY = 2597.00 | AcZ = 656.00 | GiX = 1331.00 | GiY = -347.00 | GiZ = -4125.00 | Tiempo: 82185
AcX = -2496.00 | AcY = 2739.00 | AcZ = 1575.00 | GiX = 1895.00 | GiY = -1491.00 | GiZ = -4263.00 | Tiempo: 82680
AcX = -2830.00 | AcY = 2941.00 | AcZ = 899.00 | GiX = 2292.00 | GiY = -272.00 | GiZ = -3767.00 | Tiempo: 83175
AcX = -2624.00 | AcY = 2854.00 | AcZ = 1267.00 | GiX = 2960.00 | GiY = -521.00 | GiZ = -3453.00 | Tiempo: 83670
AcX = -2776.00 | AcY = 3018.00 | AcZ = 930.00 | GiX = 3606.00 | GiY = 440.00 | GiZ = -3411.00 | Tiempo: 84165
AcX = -2571.00 | AcY = 3086.00 | AcZ = 1460.00 | GiX = 4398.00 | GiY = 262.00 | GiZ = -3119.00 | Tiempo: 84660
AcX = -2619.00 | AcY = 2959.00 | AcZ = 982.00 | GiX = 5047.00 | GiY = 577.00 | GiZ = -3134.00 | Tiempo: 85155
