---- Opened the serial port COM7 ----
Offset MPU6050
Tiempo total: 1002
Offset AcX = 1195.31 | Offset AcY = 3883.34 | Offset AcZ = 256.59
Offset GiX = -91.78 | Offset GiY = -64.30 | Offset GiZ = -4.98
Resultados MPU6050
AcX = 884.00 | AcY = 4013.00 | AcZ = -685.00 | GiX = -1396.00 | GiY = -3258.00 | GiZ = -141.00 | Tiempo: 71790
AcX = 883.00 | AcY = 4016.00 | AcZ = -722.00 | GiX = -1189.00 | GiY = -2765.00 | GiZ = -126.00 | Tiempo: 72285
AcX = 863.00 | AcY = 4043.00 | AcZ = -657.00 | GiX = -1004.00 | GiY = -2275.00 | GiZ = -159.00 | Tiempo: 72780
AcX = 883.00 | AcY = 4025.00 | AcZ = -672.00 | GiX = -841.00 | GiY = -1722.00 | GiZ = -175.00 | Tiempo: 73275
AcX = 850.00 | AcY = 4026.00 | AcZ = -757.00 | GiX = -657.00 | GiY = -1131.00 | GiZ = -169.00 | Tiempo: 73770
AcX = 870.00 | AcY = 4026.00 | AcZ = -745.00 | GiX = -496.00 | GiY = -602.00 | GiZ = -148.00 | Tiempo: 74265
AcX = 913.00 | AcY = 4014.00 | AcZ = -734.00 | GiX = -260.00 | GiY = 0.00 | GiZ = -119.00 | Tiempo: 74760
AcX = 920.00 | AcY = 3997.00 | AcZ = -710.00 | GiX = -33.00 | GiY = 522.00 | GiZ = -116.00 | Tiempo: 75255
AcX = 924.00 | AcY = 3940.00 | AcZ = -698.00 | GiX = 112.00 | GiY = 1015.00 | GiZ = -70.00 | Tiempo: 75750
AcX = 951.00 | AcY = 3912.00 | AcZ = -639.00 | GiX = 285.00 | GiY = 1489.00 | GiZ = -108.00 | Tiempo: 76245
AcX = 896.00 | AcY = 3936.00 | AcZ = -635.00 | GiX = 386.00 | GiY = 2115.00 | GiZ = -246.00 | Tiempo: 76740
AcX = 819.00 | AcY = 3939.00 | AcZ = -857.00 | GiX = 501.00 | GiY = 2746.00 | GiZ = -139.00 | Tiempo: 77235
AcX = 815.00 | AcY = 3995.00 | AcZ = -776.00 | GiX = 602.00 | GiY = 3077.00 | GiZ = -163.00 | Tiempo: 77730
AcX = 816.00 | AcY = 4023.00 | AcZ = -583.00 | GiX = 730.00 | GiY = 3603.00 | GiZ = -101.00 | Tiempo: 78225
AcX = 787.00 | AcY = 3967.00 | AcZ = -655.00 | GiX = 847.00 | GiY = 4224.00 | GiZ = -68.00 | Tiempo: 78720
AcX = 840.00 | AcY = 3970.00 | AcZ = -712.00 | GiX = 952.00 | GiY = 4633.00 | GiZ = -50.00 | Tiempo: 79215
AcX = 852.00 | AcY = 3953.00 | AcZ = -666.00 | GiX = 992.00 | GiY = 4893.00 | GiZ = -18.00 | Tiempo: 79710
AcX = 855.00 | AcY = 3938.00 | AcZ = -599.00 | GiX = 1069.00 | GiY = 5407.00 | GiZ = -22.00 | Tiempo: 80205
AcX = 799.00 | AcY = 3936.00 | AcZ = -630.00 | GiX = 1184.00 | GiY = 5987.00 | GiZ = -1.00 | Tiempo: 80700
AcX = 765.00 | AcY = 3939.00 | AcZ = -596.00 | GiX = 1343.00 | GiY = 6415.00 | GiZ = 3.00 | Tiempo: 81195
AcX = 758.00 | AcY = 3990.00 | AcZ = -510.00 | GiX = 1471.00 | GiY = 6895.00 | GiZ = 11.00 | Tiempo: 81690
AcX = 725.00 | AcY = 4028.00 | AcZ = -504.00 | GiX = 1651.00 | GiY = 7440.00 | GiZ = 5.00 | Tiempo: 82185
AcX = 670.00 | AcY = 4022.00 | AcZ = -570.00 | GiX = 1800.00 | GiY = 7970.00 | GiZ = 12.00 | Tiempo: 82680
AcX = 656.00 | AcY = 4104.00 | AcZ = -503.00 | GiX = 1944.00 | GiY = 8435.00 | GiZ = -26.00 | Tiempo: 83175
AcX = 611.00 | AcY = 4147.00 | AcZ = -491.00 | GiX = 2165.00 | GiY = 8972.00 | GiZ = -59.00 | Tiempo: 83670
AcX = 578.00 | AcY = 4182.00 | AcZ = -483.00 | GiX = 2352.00 | GiY = 9402.00 | GiZ = -20.00 | Tiempo: 84165
AcX = 524.00 | AcY = 4209.00 | AcZ = -497.00 | GiX = 2543.00 | GiY = 9924.00 | GiZ = -24.00 | Tiempo: 84660
AcX = 507.00 | AcY = 4226.00 | AcZ = -478.00 | GiX = 2628.00 | GiY = 10339.00 | GiZ = -40.00 | Tiempo: 85155
AcX = 440.00 | AcY = 4195.00 | AcZ = -458.00 | GiX = 2803.00 | GiY = 10838.00 | GiZ = 22.00 | Tiempo: 85650
AcX = 382.00 | AcY = 4179.00 | AcZ = -466.00 | GiX = 2918.00 | GiY = 11309.00 | GiZ = 37.00 | Tiempo: 86145
AcX = 312.00 | AcY = 4149.00 | AcZ = -416.00 | GiX = 3040.00 | GiY = 11728.00 | GiZ = 47.00 | Tiempo: 86640
AcX = 282.00 | AcY = 4118.00 | AcZ = -339.00 | GiX = 3115.00 | GiY = 12119.00 | GiZ = 67.00 | Tiempo: 87135
AcX = 244.00 | AcY = 4135.00 | AcZ = -303.00 | GiX = 3168.00 | GiY = 12497.00 | GiZ = 63.00 | Tiempo: 87630
