Offset MPU6050
Tiempo total: 1002
Offset AcX = 543.48 | Offset AcY = 8050.60 | Offset AcZ = 1293.61
Offset GiX = -134.91 | Offset GiY = -107.39 | Offset GiZ = -9.11
Resultados MPU6050
AcX = -2326.00 | AcY = 5776.00 | AcZ = 330.00 | GiX = -1136.00 | GiY = 5673.00 | GiZ = -15440.00 | Tiempo: 71790
AcX = 1602.00 | AcY = 5502.00 | AcZ = 2214.00 | GiX = 1649.00 | GiY = 5329.00 | GiZ = -13470.00 | Tiempo: 72285
AcX = 3868.00 | AcY = 3194.00 | AcZ = 3050.00 | GiX = 3564.00 | GiY = 2669.00 | GiZ = -12586.00 | Tiempo: 72780
AcX = 3048.00 | AcY = 184.00 | AcZ = 1258.00 | GiX = 4250.00 | GiY = 1382.00 | GiZ = -13866.00 | Tiempo: 73275
AcX = 1352.00 | AcY = -990.00 | AcZ = 4864.00 | GiX = 5313.00 | GiY = -3047.00 | GiZ = -16274.00 | Tiempo: 73770
AcX = -3574.00 | AcY = -3022.00 | AcZ = 374.00 | GiX = 5935.00 | GiY = -2228.00 | GiZ = -16767.00 | Tiempo: 74265
AcX = -6224.00 | AcY = -6260.00 | AcZ = 2122.00 | GiX = 5194.00 | GiY = -4235.00 | GiZ = -16527.00 | Tiempo: 74760
AcX = -10108.00 | AcY = -3634.00 | AcZ = 1406.00 | GiX = 2070.00 | GiY = -4986.00 | GiZ = -15319.00 | Tiempo: 75255
AcX = -11920.00 | AcY = 516.00 | AcZ = 3930.00 | GiX = 1225.00 | GiY = -9051.00 | GiZ = -9835.00 | Tiempo: 75750
AcX = -14714.00 | AcY = -2080.00 | AcZ = 3116.00 | GiX = 1851.00 | GiY = -12250.00 | GiZ = -5005.00 | Tiempo: 76245
AcX = -18900.00 | AcY = -6186.00 | AcZ = 2784.00 | GiX = 2033.00 | GiY = -13929.00 | GiZ = -5123.00 | Tiempo: 76740
AcX = -23904.00 | AcY = -6010.00 | AcZ = 2122.00 | GiX = 2161.00 | GiY = -13392.00 | GiZ = -9120.00 | Tiempo: 77235
AcX = -31106.00 | AcY = -4636.00 | AcZ = 636.00 | GiX = 2935.00 | GiY = -10612.00 | GiZ = -11177.00 | Tiempo: 77730
AcX = -32768.00 | AcY = -5844.00 | AcZ = -1880.00 | GiX = 2799.00 | GiY = -6317.00 | GiZ = -11112.00 | Tiempo: 78225
AcX = -31930.00 | AcY = -5902.00 | AcZ = -2214.00 | GiX = 1436.00 | GiY = -890.00 | GiZ = -9717.00 | Tiempo: 78720
AcX = -25224.00 | AcY = -836.00 | AcZ = 266.00 | GiX = 136.00 | GiY = -442.00 | GiZ = -6717.00 | Tiempo: 79215
AcX = -22110.00 | AcY = 980.00 | AcZ = 44.00 | GiX = 1491.00 | GiY = -808.00 | GiZ = -2523.00 | Tiempo: 79710
AcX = -19766.00 | AcY = -1088.00 | AcZ = -170.00 | GiX = 3008.00 | GiY = -292.00 | GiZ = -41.00 | Tiempo: 80205
AcX = -16502.00 | AcY = -3328.00 | AcZ = 398.00 | GiX = 3814.00 | GiY = 562.00 | GiZ = 724.00 | Tiempo: 80700
AcX = -13928.00 | AcY = -5366.00 | AcZ = 994.00 | GiX = 4402.00 | GiY = 1167.00 | GiZ = -154.00 | Tiempo: 81195
AcX = -11536.00 | AcY = -6636.00 | AcZ = 1946.00 | GiX = 4217.00 | GiY = 167.00 | GiZ = -1732.00 | Tiempo: 81690
AcX = -11986.00 | AcY = -7030.00 | AcZ = 1266.00 | GiX = 3011.00 | GiY = -1902.00 | GiZ = -3006.00 | Tiempo: 82185
AcX = -9498.00 | AcY = -5652.00 | AcZ = 1568.00 | GiX = 1088.00 | GiY = -955.00 | GiZ = -2852.00 | Tiempo: 82680
AcX = -18934.00 | AcY = -4014.00 | AcZ = 492.00 | GiX = 1126.00 | GiY = -2791.00 | GiZ = -5140.00 | Tiempo: 83175
AcX = -14772.00 | AcY = -1344.00 | AcZ = 1108.00 | GiX = -351.00 | GiY = -2732.00 | GiZ = -5375.00 | Tiempo: 83670
AcX = -13472.00 | AcY = -2176.00 | AcZ = 2252.00 | GiX = -3399.00 | GiY = -3614.00 | GiZ = -2520.00 | Tiempo: 84165
AcX = -14648.00 | AcY = 1360.00 | AcZ = 590.00 | GiX = -1819.00 | GiY = -1733.00 | GiZ = -5630.00 | Tiempo: 84660
AcX = -13360.00 | AcY = 3704.00 | AcZ = 3140.00 | GiX = 604.00 | GiY = -2457.00 | GiZ = -4332.00 | Tiempo: 85155
AcX = -14742.00 | AcY = 1308.00 | AcZ = 258.00 | GiX = 1371.00 | GiY = -2276.00 | GiZ = -3079.00 | Tiempo: 85650
AcX = -15290.00 | AcY = 368.00 | AcZ = 714.00 | GiX = 2015.00 | GiY = -1569.00 | GiZ = -4507.00 | Tiempo: 86145
AcX = -16022.00 | AcY = 308.00 | AcZ = -658.00 | GiX = 2502.00 | GiY = -440.00 | GiZ = -4916.00 | Tiempo: 86640
AcX = -15704.00 | AcY = -828.00 | AcZ = -714.00 | GiX = 2039.00 | GiY = 1061.00 | GiZ = -4233.00 | Tiempo: 87135
AcX = -14482.00 | AcY = 736.00 | AcZ = -74.00 | GiX = 2631.00 | GiY = 2293.00 | GiZ = -3531.00 | Tiempo: 87630
